AbsClampIATCall                        returned 0 writes, no hit
RandPushTrigPair                       returned 5 writes, no hit
RandSarMod0xFFF                        returned 0 writes, no hit
RandSarMod0xFFFSub400                  returned 1 writes, no hit
RangeCheckJmp                          returned 0 writes, no hit
RangeClampThree                        returned 0 writes, no hit
RangeDispatch4                         returned 30 writes, no hit
RangePathIATDispatch_Lock              ran out  1 writes, no hit
RangePathIATDispatch_TableLookupIatCall ran out  1 writes, no hit
RecordIter170                          returned 71 writes, no hit
RecordListIterMStack                   ran out  7 writes, no hit
RecursiveMStackByteStream              returned 7 writes, no hit
RegionFlushChain                       returned 5 writes, no hit
RegistryPushBindPop                    returned 4 writes, no hit
ReleaseVtableSlots                     returned 0 writes, no hit
RemapWalkAndJmp_00491e70               returned 7 writes, no hit
RemapWalkAndJmp_00491ec0               returned 6 writes, no hit
RenderSceneGraphIterate                returned 11 writes, no hit
RenderSceneNode                        returned 8 writes, no hit
Renderer1_BeginFrame_Glide             returned 0 writes, no hit
Renderer1_EndScene_Glide               returned 0 writes, no hit
Renderer1_Init_Glide                   ran out  288 writes, no hit
Renderer1_PresentFrame                 returned 0 writes, no hit
Renderer2_BeginFrame_D3D               returned 0 writes, no hit
Renderer2_EndScene_D3D                 returned 0 writes, no hit
Renderer2_FlushBatch_D3D               returned 0 writes, no hit
Renderer2_Init_D3D                     returned 0 writes, no hit
Renderer2_PresentFrame                 returned 0 writes, no hit
Renderer3_BeginFrame_SW_FS             returned 0 writes, no hit
Renderer3_EndScene_SW_FS               returned 0 writes, no hit
Renderer3_Init_SW_FS                   returned 0 writes, no hit
Renderer3_PresentFrame                 returned 0 writes, no hit
Renderer4_BeginFrame_SW_Win            returned 0 writes, no hit
Renderer4_EndScene_SW_Win              returned 0 writes, no hit
Renderer4_PresentFrame                 returned 0 writes, no hit
Renderer5_BeginFrame_SW_FS_Hi          returned 0 writes, no hit
Renderer5_EndScene_SW_FS_Hi            returned 0 writes, no hit
Renderer5_Init_SW_FS_Hi                returned 0 writes, no hit
Renderer5_PresentFrame                 returned 0 writes, no hit
RendererTeardownSW                     returned 0 writes, no hit
Renderer_GetMode                       returned 0 writes, no hit
ResetConfigToDefaults                  returned 59 writes, no hit
ResetSceneCallbacks                    returned 0 writes, no hit
RetZero_004a1c40                       returned 0 writes, no hit
RetZero_004cf700                       returned 0 writes, no hit
RosterSetupFsmCluster                  returned 3 writes, no hit
RoundCleanupCluster_ArgSarStoreJmp     returned 16 writes, no hit
RoundCleanupCluster_TableLookupCall_g_table returned 4 writes, no hit
RoundCleanupCluster_Ten404c40_404bd0   returned 6 writes, no hit
RoundCutsceneCluster                   returned 17 writes, no hit
RoundDisplayInitCluster                ran out  5 writes, no hit
RoundDouble                            returned 0 writes, no hit
RoundEndAudioCluster                   returned 3 writes, no hit
RoundEndCelebrationCluster             returned 21 writes, no hit
RoundEndDifferenceFsmCluster           returned 1 writes, no hit
RoundEndFsm                            returned 12 writes, no hit
RoundEndFsmCluster                     ran out  39 writes, no hit
RoundEndHandlerCluster                 ran out  12 writes, no hit
RoundFinalizeCluster                   returned 1 writes, no hit
RoundFinishEventGroup                  returned 38 writes, no hit
RoundFsmCluster_Atan2QuadrantLookup    returned 6 writes, no hit
RoundFsmCluster_EsiEdiAliasDualMul10   returned 10 writes, no hit
RoundOverFsmCluster                    returned 28 writes, no hit
RoundReadyFsmCluster                   returned 44 writes, no hit
RoundReset                             returned 6 writes, no hit
RoundResultSlotInitTable               returned 26 writes, no hit
RoundStartCluster_CjInstallSelfRouter  returned 18 writes, no hit
RoundStartCluster_RemapWalkAndJmp      ran out  25 writes, no hit
RoundTextMenuEventCluster              returned 20 writes, no hit
RoundWinTransition                     returned 2 writes, no hit
RunBlockFsmCluster                     returned 2 writes, no hit
RunCluster                             returned 21 writes, no hit
RunFsmCluster                          returned 45 writes, no hit
Sar64                                  returned 0 writes, no hit
SaveCallRestore                        returned 3 writes, no hit
SaveCallRestoreOrXor                   returned 3 writes, no hit
SaveRestore7CameraTransform            returned 2 writes, no hit
SaveStateSnapshot                      returned 5 writes, no hit
SaveSwapCallRestore                    returned 4 writes, no hit
Scaled3StorePushCallJmp                returned 13 writes, no hit
ScaledAddDeref                         returned 1 writes, no hit
ScaledAddStore                         returned 3 writes, no hit
ScaledAddrInit_InstallSelfMStackPushDispatch returned 49 writes, no hit
ScaledAddrInit_IntroComboFsmCluster_004677c0 returned 6 writes, no hit
ScaledAddrInit_IntroComboFsmCluster_004677e0 returned 6 writes, no hit
ScaledAnd4InvDirtyClear                returned 1 writes, no hit
ScaledAndAh                            returned 2 writes, no hit
ScaledAndAh_Phase200d_SevenThunks_0047c580 returned 26 writes, no hit
ScaledAndAl7f                          returned 2 writes, no hit
ScaledAndAlbf                          returned 2 writes, no hit
ScaledAndAldf                          returned 2 writes, no hit
ScaledAndAlf7                          returned 2 writes, no hit
ScaledAndAlfb                          returned 2 writes, no hit
ScaledAndAlfe                          returned 2 writes, no hit
ScaledAndCheckJmp                      returned 4 writes, no hit
ScaledAndFBJmp                         returned 3 writes, no hit
ScaledAndMaskInitJmp                   returned 3 writes, no hit
ScaledArgChainCmpCopy                  returned 1 writes, no hit
ScaledArrStore_CallDualStoreXorBit     returned 5 writes, no hit
ScaledArrStore_EsiInstallBitCallChain_00428e70 returned 13 writes, no hit
ScaledArrStore_EsiInstallBitCallChain_004293b0 returned 13 writes, no hit
ScaledArrStore_GuardedChainCmpDualBitXor_00429960 returned 3 writes, no hit
ScaledArrStore_GuardedChainCmpDualBitXor_00429980 returned 3 writes, no hit
ScaledArrStore_GuardedSeq_CopyJmp_then_MStackPushDualJmp returned 15 writes, no hit
ScaledArrStore_ScaledArrStore          returned 3 writes, no hit
ScaledArrStore_ScaledChainJmp_00429450 ran out  19 writes, no hit
ScaledArrStore_ScaledChainJmp_004298c0 ran out  14 writes, no hit
ScaledArrStore_SetJmp_ScaledArrStore   returned 3 writes, no hit
ScaledAudioDualShuffle                 returned 2 writes, no hit
ScaledByteIdxDualCopy                  returned 2 writes, no hit
ScaledChain3c74                        returned 1 writes, no hit
ScaledChain3c74Jmp                     returned 1 writes, no hit
ScaledChain3c7c                        returned 1 writes, no hit
ScaledChainAccumLoop                   returned 406 writes, no hit
ScaledChainAccumThreshold              returned 2 writes, no hit
ScaledChainAndF000DirtyToggle          returned 1 writes, no hit
ScaledChainCallPauseSetJmp             returned 5 writes, no hit
ScaledChainCmp61                       returned 9 writes, no hit
ScaledChainCmpDispatch                 ran out  1 writes, no hit
ScaledChainCopyTriple                  returned 1 writes, no hit
ScaledChainDouble                      returned 1 writes, no hit
ScaledChainInit2Phase                  returned 15 writes, no hit
ScaledChainJmp_00429470                returned 16 writes, no hit
ScaledChainJmp_004298e0                returned 5 writes, no hit
ScaledChainNegStore                    returned 1 writes, no hit
ScaledChainOr8                         returned 4 writes, no hit
ScaledChainOrAh1                       returned 3 writes, no hit
ScaledChainPushCall                    returned 3 writes, no hit
ScaledChainSignDirtyToggle             returned 1 writes, no hit
ScaledChainStore                       returned 1 writes, no hit
ScaledChainStore24                     returned 3 writes, no hit
ScaledChainTripleStore                 returned 2 writes, no hit
ScaledChainTwoStores                   returned 1 writes, no hit
ScaledClear1cTestWalkCall              returned 3 writes, no hit
ScaledClearJmp_EsiInstallBitCallChain  returned 13 writes, no hit
ScaledClearJmp_InstallSelf3WayChainCmp returned 7 writes, no hit
ScaledClearJmp_InstallSelfBitGated     returned 11 writes, no hit
ScaledClearTripleCallJmp               ran out  7 writes, no hit
ScaledCmp200eCallBool                  returned 0 writes, no hit
ScaledCmpJlJmp                         returned 3 writes, no hit
ScaledDecBranch_00466460               returned 24 writes, no hit
ScaledDecBranch_00466770               returned 27 writes, no hit
ScaledDecOrZero                        returned 0 writes, no hit
ScaledDecPop_00404bd0                  returned 2 writes, no hit
ScaledDecPop_00404c40                  returned 2 writes, no hit
ScaledDerefStore                       returned 0 writes, no hit
ScaledDualPropagateJmp                 returned 17 writes, no hit
ScaledFromArgDualSibStore              returned 3 writes, no hit
ScaledIdxLoadCallTailThunk             returned 5 writes, no hit
ScaledIncCmpDualJmp                    returned 5 writes, no hit
ScaledIncCmpJmp                        returned 3 writes, no hit
ScaledIncLoopState3                    returned 2 writes, no hit
ScaledIndexCondCopy                    returned 1 writes, no hit
ScaledIndexConditionalAdd              returned 1 writes, no hit
ScaledIndirectJmp_00433bf0             ran out  1 writes, no hit
ScaledIndirectJmp_0049c850             ran out  1 writes, no hit
ScaledInitOrSelfPtrSetType14           returned 5 writes, no hit
ScaledInitOrSelfPtrSetType_00434d60    returned 4 writes, no hit
ScaledInitOrSelfPtrSetType_0046a5e0    returned 4 writes, no hit
ScaledInitOrSelfPtrSetType_0047a620    returned 4 writes, no hit
ScaledInitOrSelfPtr_CallPauseDirty1JmpDirty4StackPush returned 4 writes, no hit
ScaledInitOrSelfPtr_DualSeqLoopDispatch returned 4 writes, no hit
ScaledInitOrSelfPtr_InstallSelfStackReset returned 4 writes, no hit
ScaledInitOrSelfPtr_NetEntityScanAndPunish returned 4 writes, no hit
ScaledInitOrSelfPtr_PoseChainAdvanceCluster returned 4 writes, no hit
ScaledInitOrSelfPtr_StackPopDispatchTagged returned 4 writes, no hit
ScaledInitOrSelfPtr_func_0041f780_z    returned 4 writes, no hit
ScaledInitOrSet13b6                    returned 5 writes, no hit
ScaledInitPauseDirtyStore_00445f00     returned 4 writes, no hit
ScaledInitPauseDirtyStore_00446240     returned 4 writes, no hit
